path,classification,owner,old_lifecycle,reason,imported_by,archive_destination,git_blob_sha,bytes,sha256,replacement_or_current_authority,removal_safety
distributions/nollm-audited/manifest.json,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,0ceb8b3a5376aa7c9160164a9c914034acecfddb,191,E2F5A3191340CE9190E8382E264B74326DE33E4A69167B28B5BF367FCAB71533,,RETAIN_IN_ACTIVE_TREE
distributions/nollm-bare/README.md,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,e379571fa320a71919711c7078feeb92cce7e3e9,171,F24A0DC68B8E036B5D54CA5B6C6CAE8BC5BBD906E969CA83D2194901A6A5B436,,RETAIN_IN_ACTIVE_TREE
distributions/nollm-bare/manifest.json,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,9abde110cdfa45f0c2f0a90fe69a671dd700a386,534,F4B2D97513E4D01AB7BED3334F24C2F9C2428D662B31D3E455C6F1EA0EC74EC8,,RETAIN_IN_ACTIVE_TREE
distributions/nollm-debug/README.md,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,fda38532d40b9ddd70f31a1c31966cca0e0ca637,124,DA34788C1D0DEDF5C1F41704D88A554F80D9C6102BCA58F3C1BEE0267A6E8E6D,,RETAIN_IN_ACTIVE_TREE
distributions/nollm-debug/manifest.json,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,ac58d18c5d7bbbdc5e371f32ea206fa377797faf,264,3B8AFE9307F79473574202DC7CF1C261E68CD18AF453AC44AA339778359B54ED,,RETAIN_IN_ACTIVE_TREE
distributions/nollm-minimal/README.md,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,67b67db41b7a80773b26f5db7ce711e3832aa151,295,7D90823C98FC0AD8241B079A279EB32C507CBE28D3ADCE515AE2A6F51A50A9B2,,RETAIN_IN_ACTIVE_TREE
distributions/nollm-minimal/manifest.json,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,26e33eff8030d0c960ecaba94358c8bf2b3bc4a7,337,CB6C181B2609722FCCC6C8505638BB22C7B1314221E9998D7F2B110C5E9AC86D,,RETAIN_IN_ACTIVE_TREE
distributions/nollm-openclaw/README.md,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,60d347f22a59da173f7168e92741063f81b80b9f,2343,423567121EFF7A68BEF8A86FEE095D7C0DDCA1487B2B39F23B3E06DEB52475F3,,RETAIN_IN_ACTIVE_TREE
distributions/nollm-openclaw/manifest.json,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,66c903bacc786935daa7b51f93b1366354956546,3368,09B9E05845F094A74FB6396EBD2A112419ABCE7E941BC2B411E7054524511402,,RETAIN_IN_ACTIVE_TREE
docs/NOLLM_EXECUTION_POLICY.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/NOLLM_EXECUTION_POLICY.md,3a6f4975a024ad57c1dc4a91d9046ad5bdc42dd3,1333,32D35F5E28501766074AB45A2C8B908362954C2EEF63BAF405E373DCF095D9A7,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/V1_FINAL_AUDIT_CHECKLIST.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/V1_FINAL_AUDIT_CHECKLIST.md,642188bfb4c9fa62df7861550cfa41d1f9f659a5,2404,655CA7FB4C1C4DC772D45F328E16DD32DEADEAE9BBB4F648BE49B96F2C24A53F,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/V1_KNOWN_LIMITATIONS.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/V1_KNOWN_LIMITATIONS.md,46c4e9176fb2874dedea53aa46013706f7ed0754,437,C569480EF968139BDBF248D64D5BE3C7A4515D7DB6EC380338B0EA032436DB79,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/V1_RELEASE_CHECKLIST.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/V1_RELEASE_CHECKLIST.md,c91ce46576d141feef1f8b6b7ac90a082599492d,2757,BBD4349D32BF075ECEC5C976A5E1E57DCBF8BCD1B371FD70B13D773A8EF734EF,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/V1_RELEASE_NOTES_DRAFT.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/V1_RELEASE_NOTES_DRAFT.md,851910b9a9feeaba0abbf684a4637deb6abe0ebd,2636,99002CFA473517D99D137BC160040051B0B6B4394FF1AEF15ABBB245D74D3F3B,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/admission/BA1_BATCH_ADMISSION_SCOPE.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/admission/BA1_BATCH_ADMISSION_SCOPE.md,d0c42344cbe7bcae4fb80236b69582242ba3257b,1135,4F7CE2B735F2F41F22C8764E623E79E91D57946D39653C81A7A641FBE118C1D2,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/admission/DA1_MEMORY_ADMISSION_CONVENTIONS.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/admission/DA1_MEMORY_ADMISSION_CONVENTIONS.md,478cb168a1963c7730c92ae64c97aea977cb5ec5,650,91D363A3D8F87DBD50718F7FA2B7C69FCA2FD4409A8ED0CD6272D787C2AB4CD5,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/admission/DA1_MEMORY_ADMISSION_SCOPE.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/admission/DA1_MEMORY_ADMISSION_SCOPE.md,eac33c69d92440e13c92236cb64e6c3bde805e31,1784,35136F15A0D40C2A768DF97883719B3A170A1305AE6D60BE52F2FFFAEE9ED983,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/D9_AUDIT_HISTORY_REEVALUATION.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/D9_AUDIT_HISTORY_REEVALUATION.md,7e424e6342ac51106be52d47412f86d55c4b85b7,802,6403233747C24652FA5E7BFE98A7B71A07A4738D899841E5CAAAF2DA88290E36,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/D_SERIES_STATUS.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/D_SERIES_STATUS.md,550798d8c4aedfa66910e2db9e75f8d8943ff9e3,1389,A168122F536E1B616DED03929FED54A8CE33AD0E2378EB62C3048095E0868CF3,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_10_DURABLE_CAPTURE_ASYNC_ABSORPTION_20260717.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_10_DURABLE_CAPTURE_ASYNC_ABSORPTION_20260717.md,faeb0c5782b81d79442906cec60b3e44e19aa479,3381,1B7086AC3D07F7A106363DA443A48ED3501DCB0B38C4301CDD24C403039B71BB,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_LLM_COMPILED_RECALL_LENS_JUNCTION_GROWTH_20260717.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_LLM_COMPILED_RECALL_LENS_JUNCTION_GROWTH_20260717.md,5c2d641a25091818cdbfe1a5661922700e1e8e91,2647,74A17E47C7FAC773EF367371354BA3D03D07B57E642B7F31FE98DB750C8CD262,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV1_LENS_CAUSAL_TRUE_JUNCTION_HIERARCHICAL_ATLAS_20260718.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV1_LENS_CAUSAL_TRUE_JUNCTION_HIERARCHICAL_ATLAS_20260718.md,2009091c24c7e9215ab8b4f39f81ee023a9bd194,15585,0ACA78EF04E0C92E2C0C9CD6955407F01A6BB3C640D5817F96CEA106737CD438,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV2_FIELD_COMPLETE_ATLAS_REALIZED_JUNCTION_CAUSAL_LOOP_20260718.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV2_FIELD_COMPLETE_ATLAS_REALIZED_JUNCTION_CAUSAL_LOOP_20260718.md,acba726a853133af87dc01b68456f17d90a7b552,12147,0383DFDA76FFEDF9FA49AC7ED41DFE11BE0EF1019693D36419C1FE4E38613801,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV3_PROMPT_BOUNDED_LENS_CARTOGRAPHY_RELATION_ENTRY_RECALL_20260718.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV3_PROMPT_BOUNDED_LENS_CARTOGRAPHY_RELATION_ENTRY_RECALL_20260718.md,074bbf600fae1b63eaa228cbb2c092283775560f,13314,151063224DBE50B238A776C6EEC020A172B6CB627C86C7629812EF27041475C2,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV4_CONTEXTUAL_PROPOSITION_SHARED_RETRIEVAL_ENTRY_IDENTITY_20260721.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV4_CONTEXTUAL_PROPOSITION_SHARED_RETRIEVAL_ENTRY_IDENTITY_20260721.md,60aa2504f00ae74695bbc4097721426b81658df7,16579,53AF9D6D72D6FB785A884B7733F8E72A98387FD920793CEA9D2851D3A74255F2,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV5_LLM_NATIVE_EVIDENCE_ANCHORS_MAIN_AGENT_GEOMETRIC_RECALL_20260722.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV5_LLM_NATIVE_EVIDENCE_ANCHORS_MAIN_AGENT_GEOMETRIC_RECALL_20260722.md,529296124e5191ba6c1425c80756cab4d95c5bbe,17038,16F63FF6B3F8D11795EAFA9215582F31A768D6562E612C8E04004B6CBE341599,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV6_1_SINGLE_ACTIVE_CONTENT_NEUTRAL_PIPELINE_TOOL_EVIDENCE_PER_CAPTURE_CONTINUATION_20260724.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV6_1_SINGLE_ACTIVE_CONTENT_NEUTRAL_PIPELINE_TOOL_EVIDENCE_PER_CAPTURE_CONTINUATION_20260724.md,9d3cc637b2293b0cf708632c3c44fd8f634b439e,12081,866D3D6EAE4301F1B1F8ADCE22B72536C0518DD6CAC5F36BDFB35FDEABD99E8A,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV6_CONTENT_NEUTRAL_FORMATION_RECOVERABLE_ABSORPTION_PROGRESSIVE_ROUTING_20260723.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_11_REV6_CONTENT_NEUTRAL_FORMATION_RECOVERABLE_ABSORPTION_PROGRESSIVE_ROUTING_20260723.md,114e84fc9c3912f7d9f6e02fb024f657640b77b8,12554,4FBE7F23BB5DE0530D10FFF29AEEC55AF755F88B0E3C90C70C15E44BD512C738,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_3_SEMANTIC_MEMORY_TOOL_20260712.md,ARCHIVE_HISTORICAL,LEGACY,HISTORICAL,"Historical evidence, report, task, fixture, or validation asset with no retained import dependency.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::docs/architecture/NOLLM_ARCHITECTURE_AMENDMENT_V3_3_SEMANTIC_MEMORY_TOOL_20260712.md,dcac1304df59ff0027cd1a0f9dc58a7d8575c7ac,14381,BAA19308A35E0A8F81767DBEC89605D6C029057A1817360C6F251A9512F461D7,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
